Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /devices/:id/stats,1060,0,4,5.4989159877345415,2.2423689999868657,63.25174300002345,441.1622641509434,36.50791787179333,0.0,4,6,6,7,10,12,16,19,50,63,63
GET,GET /users/:id/stats,543,0,6,7.131100504603021,2.6101619999963077,60.39095600010569,964.3646408839779,18.701697551305454,0.0,6,8,8,10,13,16,21,25,60,60,60
POST,POST /devices/:id/readings,2761,0,6,7.355137048896032,3.397255000095356,149.71149300004072,171.65881926838102,95.09279362643528,0.0,6,7,8,9,12,15,23,29,65,150,150
POST,setup: POST /devices,50,0,12,20.93500722000499,3.6518160000014177,135.9853750000184,161.0,1.7220715977261007,0.0,12,20,25,31,50,64,140,140,140,140,140
POST,setup: POST /users,50,0,55,61.92740565999884,15.965784000059102,147.14309499993306,114.0,1.7220715977261007,0.0,57,75,94,100,120,130,150,150,150,150,150
,Aggregated,4464,0,6,7.650468762768855,2.2423689999868657,149.71149300004072,331.31317204301075,153.74655224498628,0.0,6,7,8,9,12,16,28,49,130,150,150
